Gaia16afy
#Date,JD,averagemag.
2014-09-21 18:00:19,2456922.250,null
2014-09-27 21:28:02,2456928.394,null
2014-10-29 09:04:56,2456959.878,16.48
2014-10-29 10:51:30,2456959.952,16.42
2014-12-31 02:47:04,2457022.616,16.59
2014-12-31 04:33:38,2457022.690,16.53
2015-02-13 02:24:41,2457066.600,16.45
2015-02-13 04:11:16,2457066.674,16.39
2015-03-14 08:14:16,2457095.843,16.58
2015-03-14 10:00:51,2457095.917,16.51
2015-04-11 08:02:21,2457123.835,16.74
2015-07-20 01:28:25,2457223.561,16.55
2015-08-04 23:44:37,2457239.489,null
2015-08-04 23:46:44,2457239.491,null
2015-09-13 16:43:57,2457279.197,16.71
2015-09-13 18:30:31,2457279.271,16.69
2015-10-12 00:13:25,2457307.509,16.7
2015-10-12 04:22:10,2457307.682,null
2015-10-12 04:27:15,2457307.686,null
2015-11-10 10:13:30,2457336.926,16.59
2015-11-10 12:00:04,2457337.000,16.56
2015-12-24 17:34:43,2457381.232,16.15
2015-12-24 21:48:23,2457381.409,16.16
2016-01-15 03:57:42,2457402.665,16.03
2016-01-15 05:44:16,2457402.739,15.99
2016-02-24 23:21:08,2457443.473,15.7
2016-02-25 03:34:48,2457443.649,15.67
2016-03-27 11:01:50,2457474.960,null
2016-04-21 15:08:11,2457500.131,16.1
2016-04-21 16:55:06,2457500.205,null
2016-04-21 17:00:02,2457500.208,null
2016-06-02 02:00:59,2457541.584,null
2016-06-02 03:47:33,2457541.658,15.87
2016-06-15 21:53:57,2457555.412,16.08
2016-06-16 02:07:37,2457555.589,16.09
2016-07-30 12:40:44,2457600.028,16.42
2016-08-17 12:42:43,2457618.030,16.49
2016-09-24 05:49:25,2457655.743,16.3
2016-09-24 07:35:59,2457655.817,16.29
2016-10-25 13:14:02,2457687.051,16.12
2016-11-21 11:22:27,2457713.974,16.11
2016-11-21 13:09:01,2457714.048,16.1
2017-01-06 16:59:06,2457760.208,16.15
2017-01-06 18:45:41,2457760.282,16.21
2017-01-06 22:59:21,2457760.458,16.16
2017-01-29 11:06:45,2457782.963,null
2017-01-29 12:53:19,2457783.037,16.39

