Gaia17cie
#Date,JD(TCB),averagemag
2015-01-06 00:15:54,2457028.51104,null
2015-01-22 22:33:25,2457045.43987,null
2015-01-23 00:20:10,2457045.51400,null
2015-02-25 11:47:58,2457078.99164,null
2015-06-30 04:02:17,2457203.66825,null
2015-06-30 05:49:01,2457203.74237,null
2015-07-20 16:08:07,2457224.17230,null
2015-07-20 17:54:16,2457224.24602,null
2015-08-24 03:40:56,2457258.65343,null
2015-08-24 05:27:40,2457258.72755,null
2015-10-03 02:43:36,2457298.61361,null
2015-10-03 04:30:20,2457298.68773,null
2015-10-12 16:36:20,2457308.19190,null
2015-10-12 20:49:29,2457308.36770,null
2015-10-12 22:36:13,2457308.44182,null
2016-01-15 17:33:00,2457403.23125,null
2016-02-06 01:18:02,2457424.55419,null
2016-03-07 11:12:34,2457454.96706,null
2016-03-07 12:58:45,2457455.04080,null
2016-07-09 23:11:31,2457579.46633,null
2016-07-10 00:58:16,2457579.54046,null
2016-08-04 18:53:55,2457605.28744,null
2016-09-03 06:34:08,2457634.77370,null
2017-01-24 18:39:15,2457778.27726,null
2017-01-24 20:26:00,2457778.35139,null
2017-02-19 07:52:36,2457803.82819,null
2017-02-19 09:39:21,2457803.90233,null
2017-03-18 09:32:55,2457830.89786,null
2017-07-21 07:43:49,2457955.82209,null
2017-08-20 01:26:56,2457985.56037,null
2017-09-14 01:15:46,2458010.55262,18.49
2017-09-14 03:02:20,2458010.62662,18.51
2017-12-20 23:49:26,2458108.49266,null
2017-12-21 04:03:12,2458108.66889,null
2017-12-21 05:49:22,2458108.74262,null
2017-12-21 10:03:08,2458108.91884,null
2017-12-21 11:49:53,2458108.99297,null
2017-12-21 16:03:39,2458109.16920,null
2017-12-24 04:05:55,2458111.67078,null
2017-12-24 10:05:51,2458111.92073,null
2017-12-24 11:52:36,2458111.99486,null
2017-12-24 16:06:22,2458112.17109,null
2017-12-24 17:53:07,2458112.24522,null
2017-12-24 22:06:53,2458112.42145,null
2017-12-24 23:53:03,2458112.49517,null
2018-02-04 04:56:17,2458153.70575,null
2018-03-06 02:53:17,2458183.62034,null
2018-03-06 04:40:02,2458183.69447,null
2018-03-29 02:57:23,2458206.62318,null
2018-03-29 04:44:08,2458206.69731,null
2018-08-01 14:52:35,2458332.11985,null
2018-08-01 16:39:20,2458332.19398,null
2018-09-03 20:22:22,2458365.34887,null
2018-09-03 22:09:06,2458365.42299,null
2018-09-24 10:06:27,2458385.92115,null
2018-12-28 06:43:48,2458480.78042,null
2018-12-28 10:57:34,2458480.95664,null
2019-01-09 05:05:12,2458492.71194,null
2019-01-09 06:51:23,2458492.78568,null
2019-02-14 22:19:16,2458529.43005,null
2019-03-21 21:56:30,2458564.41424,null
2019-03-21 23:43:16,2458564.48838,null
2019-04-07 23:53:43,2458581.49564,null
2019-04-08 04:07:29,2458581.67186,null
2019-04-08 05:54:14,2458581.74600,null
2019-04-08 10:08:00,2458581.92222,null
2019-06-21 10:24:01,2458655.93334,null
2019-06-21 12:10:10,2458656.00706,null
2019-06-21 16:23:55,2458656.18328,null
2019-06-21 18:10:39,2458656.25740,null
2019-06-21 22:24:24,2458656.43361,null
2019-06-22 00:10:33,2458656.50733,null
2019-07-02 06:18:02,2458666.76252,null
2019-07-02 10:31:46,2458666.93873,null
2019-07-02 12:18:31,2458667.01286,null
2019-07-02 16:32:15,2458667.18906,null
2019-09-25 15:01:28,2458752.12602,null
2019-09-25 16:48:12,2458752.20014,null

