Gaia21fjv
#Date,JD(TCB),averagemag
2014-09-10 06:29:52,2456910.77074,untrusted
2014-10-15 07:53:11,2456945.82860,untrusted
2014-11-23 08:44:16,2456984.86407,16.36
2014-11-23 12:57:55,2456985.04022,16.40
2014-11-23 14:44:29,2456985.11422,16.27
2014-12-01 07:03:09,2456992.79385,untrusted
2014-12-01 08:49:43,2456992.86786,untrusted
2015-03-05 11:17:18,2457086.97035,16.83
2015-03-05 15:31:27,2457087.14684,null
2015-03-25 15:32:54,2457107.14785,15.32
2015-03-25 17:19:29,2457107.22186,15.45
2015-04-26 10:58:21,2457138.95719,16.95
2015-09-02 23:11:02,2457268.46600,17.05
2015-09-03 03:24:41,2457268.64214,17.33
2015-09-03 05:11:14,2457268.71613,17.35
2015-09-26 09:23:03,2457291.89101,17.16
2015-09-26 11:09:37,2457291.96501,17.19
2015-10-26 03:00:31,2457321.62536,16.64
2016-03-14 12:23:40,2457462.01644,17.09
2016-05-06 12:10:00,2457515.00694,16.75
2016-05-06 16:23:41,2457515.18311,17.37
2016-09-12 16:33:57,2457644.19024,null
2016-09-12 18:20:06,2457644.26396,null
2016-10-10 10:19:28,2457671.93019,null
2016-10-10 12:06:13,2457672.00432,null
2016-11-04 10:06:48,2457696.92139,null
2016-11-04 11:53:32,2457696.99551,null
2017-03-24 20:54:51,2457837.37142,null
2017-03-25 01:08:37,2457837.54765,null
2017-04-23 08:40:39,2457866.86156,null
2017-05-17 06:57:26,2457890.78988,null
2017-05-17 08:44:11,2457890.86402,null
2017-10-25 00:36:40,2458051.52546,17.04
2017-10-25 02:23:14,2458051.59947,17.03
2018-02-16 16:44:49,2458166.19779,14.20
2018-02-16 20:58:30,2458166.37396,14.33
2018-02-16 22:45:16,2458166.44810,null
2018-02-17 02:58:45,2458166.62413,14.34
2018-04-04 16:04:32,2458213.16981,17.22
2018-05-09 13:56:41,2458248.08103,17.48
2018-05-09 15:43:16,2458248.15505,17.37
2018-05-27 02:06:56,2458265.58815,14.13
2018-05-27 03:53:31,2458265.66216,14.16
2018-05-27 08:07:12,2458265.83833,14.37
2018-10-04 16:00:07,2458396.16675,17.20
2018-11-08 13:31:26,2458431.06350,null
2018-11-08 15:18:10,2458431.13762,null
2018-11-23 13:34:35,2458446.06568,16.65
2018-11-23 15:21:09,2458446.13969,16.83
2019-02-24 11:42:49,2458538.98807,17.23
2019-02-24 15:56:30,2458539.16424,17.26
2019-03-11 10:03:35,2458553.91916,17.39
2019-04-15 15:28:57,2458589.14510,17.25
2019-04-15 17:15:32,2458589.21912,17.04
2019-08-29 20:11:50,2458725.34155,17.37
2019-08-29 21:58:24,2458725.41556,17.10
2019-09-14 14:34:13,2458741.10709,17.26
2019-09-14 16:20:47,2458741.18110,17.40
2019-10-19 22:14:30,2458776.42674,17.31
2020-02-20 21:46:30,2458900.40729,17.42
2020-02-21 02:00:11,2458900.58346,17.07
2020-03-08 20:25:47,2458917.35124,17.34
2020-03-08 22:12:21,2458917.42524,17.05
2020-04-12 04:01:30,2458951.66771,17.29
2020-04-12 05:48:05,2458951.74172,17.33
2020-05-22 18:13:39,2458992.25948,17.68
2020-05-22 20:00:13,2458992.33348,17.07
2020-05-23 00:13:54,2458992.50965,17.18
2020-05-23 02:00:29,2458992.58367,17.06
2020-05-30 08:09:04,2458999.83963,17.50
2020-05-30 12:22:45,2459000.01580,17.48
2020-05-30 14:09:19,2459000.08980,17.02
2020-10-05 03:59:13,2459127.66612,null
2020-11-09 09:15:38,2459162.88586,null
2020-11-24 01:32:40,2459177.56435,16.80
2021-02-24 21:54:32,2459270.41287,17.22
2021-02-24 23:41:06,2459270.48688,17.15
2021-03-12 04:01:13,2459285.66751,null
2021-03-12 05:47:50,2459285.74155,17.04
2021-04-16 05:14:32,2459320.71843,17.19
2021-08-24 21:44:02,2459451.40558,15.40
2021-08-24 23:30:35,2459451.47957,15.52
2021-09-11 11:37:08,2459468.98412,17.41
2021-09-11 15:50:47,2459469.16027,untrusted
2021-10-16 03:20:31,2459503.63925,17.53
2021-10-16 05:07:04,2459503.71324,17.00
2021-11-24 16:10:36,2459543.17403,17.45
2021-11-24 20:24:15,2459543.35017,17.44
2021-11-24 22:10:48,2459543.42417,16.87
2021-12-01 14:29:06,2459550.10354,13.32
2021-12-01 16:15:39,2459550.17753,13.31
2022-03-06 04:57:58,2459644.70692,17.04
2022-03-06 06:44:33,2459644.78094,17.16

