Gaia17csc
#Date,JD(TCB),averagemag
2014-10-31 23:12:30,2456962.46701,null
2014-11-01 00:58:40,2456962.54074,null
2015-04-25 17:05:57,2457138.21247,null
2015-04-25 18:52:41,2457138.28659,null
2015-05-22 00:43:38,2457164.53030,null
2015-06-18 16:41:44,2457192.19565,null
2015-06-18 18:27:54,2457192.26938,null
2015-11-11 02:06:48,2457337.58806,null
2015-12-08 00:08:48,2457364.50611,null
2015-12-08 01:54:59,2457364.57985,null
2016-01-01 06:06:39,2457388.75462,null
2016-01-01 07:53:25,2457388.82876,null
2016-05-05 12:14:54,2457514.01035,null
2016-05-05 14:01:38,2457514.08447,null
2016-06-05 05:52:32,2457544.74481,null
2016-06-05 07:39:16,2457544.81894,null
2016-06-28 05:47:18,2457567.74118,null
2016-06-28 07:33:27,2457567.81490,null
2016-11-20 13:29:19,2457713.06203,null
2016-12-22 01:08:58,2457744.54789,null
2016-12-22 02:55:43,2457744.62203,null
2017-01-09 19:16:29,2457763.30311,null
2017-01-09 21:03:15,2457763.37726,null
2017-01-10 01:17:01,2457763.55348,null
2017-05-16 16:33:13,2457890.18973,null
2017-06-20 09:56:46,2457924.91442,null
2017-06-20 14:10:30,2457925.09063,null
2017-07-08 02:12:37,2457942.59209,null
2017-07-08 03:59:22,2457942.66623,null
2017-10-13 18:20:12,2458040.26403,19.06
2017-10-13 22:33:53,2458040.44020,19.04
2017-10-25 12:28:18,2458052.01965,19.63
2017-10-25 16:41:59,2458052.19582,19.60
2017-12-01 04:02:20,2458088.66829,20.57
2018-01-07 21:36:37,2458126.40043,null
2018-01-08 03:36:34,2458126.65039,null
2018-01-08 05:23:19,2458126.72453,null
2018-01-08 09:37:05,2458126.90075,null
2018-01-08 11:23:51,2458126.97490,null
2018-01-16 21:44:24,2458135.40583,null
2018-01-16 23:31:09,2458135.47997,null
2018-01-17 03:44:55,2458135.65619,null
2018-01-17 05:31:41,2458135.73034,null
2018-01-17 09:45:27,2458135.90656,null
2018-04-07 10:20:38,2458215.93100,null
2018-04-07 12:06:47,2458216.00471,null
2018-04-07 16:20:31,2458216.18091,null
2018-04-07 18:07:16,2458216.25505,null
2018-04-19 12:14:29,2458228.01006,null
2018-04-19 16:28:13,2458228.18626,null
2018-04-19 18:14:57,2458228.26038,null
2018-05-27 21:55:04,2458266.41324,null
2018-05-27 23:41:49,2458266.48737,null
2018-07-06 04:52:28,2458305.70310,null
2018-07-06 09:06:11,2458305.87929,null
2018-07-16 21:12:11,2458316.38346,null
2018-07-16 22:58:20,2458316.45718,null
2018-10-22 13:21:55,2458414.05689,null
2018-11-09 11:40:36,2458431.98653,null
2018-11-09 13:26:47,2458432.06027,null
2018-12-11 17:13:42,2458464.21785,null
2018-12-11 18:59:53,2458464.29159,null
2019-04-15 17:26:15,2458589.22656,null
2019-04-15 19:13:00,2458589.30069,null
2019-05-06 17:28:35,2458610.22818,null
2019-05-06 19:15:20,2458610.30231,null
2019-06-07 23:03:12,2458642.46056,null
2019-06-08 00:49:57,2458642.53469,null

